optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
130244668;13.11.2019;C;E;20.12.2019;13.11.2019;2061;8,4;8,6;22;3180000;8,5;3180
130434400;13.11.2019;C;E;20.12.2019;13.11.2019;679;7,4;7,7;1;3185000;7,55;3185
130244669;13.11.2019;C;E;20.12.2019;13.11.2019;3427;6,6;6,8;21;3190000;6,7;3190
130434401;13.11.2019;C;E;20.12.2019;13.11.2019;296;5,8;6,1;5;3195000;5,95;3195
114281427;13.11.2019;C;E;20.12.2019;13.11.2019;59115;5,2;5,4;2672;3200000;5,3;3200
130482676;13.11.2019;C;E;20.12.2019;13.11.2019;294;4,6;4,8;111;3205000;4,7;3205
130244670;13.11.2019;C;E;20.12.2019;13.11.2019;1000;4;4,2;360;3210000;4,1;3210
130482677;13.11.2019;C;E;20.12.2019;13.11.2019;1182;3,5;3,7;3003;3215000;3,6;3215
130424510;13.11.2019;C;E;20.12.2019;13.11.2019;1133;3,1;3,3;22;3220000;3,2;3220
121963763;13.11.2019;C;E;20.12.2019;13.11.2019;11845;2,8;2,95;219;3225000;2,875;3225
130424511;13.11.2019;C;E;20.12.2019;13.11.2019;4664;2,45;2,55;64;3230000;2,5;3230
131101803;13.11.2019;C;E;20.12.2019;13.11.2019;15;2,2;2,35;34;3235000;2,275;3235
130434402;13.11.2019;C;E;20.12.2019;13.11.2019;525;1,95;2,1;23;3240000;2,025;3240
131109664;13.11.2019;C;E;20.12.2019;13.11.2019;62;1,7;1,85;22;3245000;1,775;3245
118940214;13.11.2019;C;E;20.12.2019;13.11.2019;48841;1,55;1,65;1166;3250000;1,6;3250
131115845;13.11.2019;C;E;20.12.2019;11.11.2019;8;1,35;1,5;0;3255000;1,425;3255
130434403;13.11.2019;C;E;20.12.2019;13.11.2019;353;1,25;1,35;40;3260000;1,3;3260
131115846;13.11.2019;C;E;20.12.2019;12.11.2019;6;1,1;1,2;0;3265000;1,15;3265
130434404;13.11.2019;C;E;20.12.2019;12.11.2019;38;1;1,1;0;3270000;1,05;3270
123947271;13.11.2019;C;E;20.12.2019;13.11.2019;5418;0,9;1;116;3275000;0,95;3275
130482678;13.11.2019;C;E;20.12.2019;12.11.2019;33;0,8;0,9;0;3280000;0,85;3280
